#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
7073771|2016-08-24T01:40:45.960000|42.7928|13.1968|3.5|SURVEY-INGV||||ML|3.8|--|Ascoli Piceno
7073781|2016-08-24T01:41:38.570000|42.7807|13.1523|7.1|SURVEY-INGV||||ML|3.9|--|Perugia
7073901|2016-08-24T01:46:12.250000|42.7613|13.1532|5.5|SURVEY-INGV||||ML|3.7|--|Perugia
7074061|2016-08-24T01:52:42.840000|42.657|13.2327|10.8|SURVEY-INGV||||ML|3.1|--|Rieti
7074171|2016-08-24T01:56:00.550000|42.6138|13.275|4.8|SURVEY-INGV||||Mw|4.3|--|Rieti
7074291|2016-08-24T01:57:23.080000|42.7173|13.229|10.8|SURVEY-INGV||||ML|3.4|--|Rieti
7074411|2016-08-24T02:01:08.070000|42.7982|13.2553|8.5|SURVEY-INGV||||ML|3.9|--|Ascoli Piceno
7074621|2016-08-24T02:05:55.870000|42.6072|13.2762|10.3|SURVEY-INGV||||ML|3.9|--|Rieti
7074701|2016-08-24T02:07:30.350000|42.6577|13.3182|9.6|SURVEY-INGV||||ML|3.8|--|Rieti
7074841|2016-08-24T02:09:56.270000|42.7417|13.1987|8.6|SURVEY-INGV||||ML|3.6|--|Rieti
